;waktu;windspeed;winddir;temp;rh;pressure;rain;solrad
0;01/01/2020 00:00;2.94137931;321.4413793;30.82758621;66.14827586;1004.972414;0.227586207;309.2892857
1;01/01/2020 00:10;2.882758621;321.7827586;30.65517241;67.09655172;1005.244828;0.455172414;298.6785714
2;01/01/2020 00:20;2.824137931;322.1241379;30.48275862;68.04482759;1005.517241;0.682758621;288.0678571
3;01/01/2020 00:30;2.765517241;322.4655172;30.31034483;68.99310345;1005.789655;0.910344828;277.4571429
4;01/01/2020 00:40;2.706896552;322.8068966;30.13793103;69.94137931;1006.062069;1.137931034;266.8464286
5;01/01/2020 00:50;2.648275862;323.1482759;29.96551724;70.88965517;1006.334483;1.365517241;256.2357143
6;01/01/2020 01:00;2.589655172;323.4896552;29.79310345;71.83793103;1006.606897;1.593103448;245.625
7;01/01/2020 01:10;2.531034483;323.8310345;29.62068966;72.7862069;1006.87931;1.820689655;235.0142857
8;01/01/2020 01:20;2.472413793;324.1724138;29.44827586;73.73448276;1007.151724;2.048275862;224.4035714
9;01/01/2020 01:30;2.413793103;324.5137931;29.27586207;74.68275862;1007.424138;2.275862069;213.7928571
10;01/01/2020 01:40;2.355172414;324.8551724;29.10344828;75.63103448;1007.696552;2.503448276;203.1821429
11;01/01/2020 01:50;2.296551724;325.1965517;28.93103448;76.57931034;1007.968966;2.731034483;192.5714286
12;01/01/2020 02:00;2.237931034;325.537931;28.75862069;77.52758621;1008.241379;2.95862069;181.9607143
13;01/01/2020 02:10;2.179310345;325.8793103;28.5862069;78.47586207;1008.513793;3.186206897;171.35
14;01/01/2020 02:20;2.120689655;326.2206897;28.4137931;79.42413793;1008.786207;3.413793103;160.7392857
15;01/01/2020 02:30;2.062068966;326.562069;28.24137931;80.37241379;1009.058621;3.64137931;150.1285714
16;01/01/2020 02:40;2.003448276;326.9034483;28.06896552;81.32068966;1009.331034;3.868965517;139.5178571
17;01/01/2020 02:50;1.944827586;327.2448276;27.89655172;82.26896552;1009.603448;4.096551724;128.9071429
18;01/01/2020 03:00;1.886206897;327.5862069;27.72413793;83.21724138;1009.875862;4.324137931;118.2964286
19;01/01/2020 03:10;1.827586207;327.9275862;27.55172414;84.16551724;1010.148276;4.551724138;107.6857143
20;01/01/2020 03:20;1.768965517;328.2689655;27.37931034;85.1137931;1010.42069;4.779310345;97.075
21;01/01/2020 03:30;1.710344828;328.6103448;27.20689655;86.06206897;1010.693103;5.006896552;86.46428571
22;01/01/2020 03:40;1.651724138;328.9517241;27.03448276;87.01034483;1010.965517;5.234482759;75.85357143
23;01/01/2020 03:50;1.593103448;329.2931034;26.86206897;87.95862069;1011.237931;5.462068966;65.24285714
24;01/01/2020 04:00;1.534482759;329.6344828;26.68965517;88.90689655;1011.510345;5.689655172;54.63214286
25;01/01/2020 04:10;1.475862069;329.9758621;26.51724138;89.85517241;1011.782759;5.917241379;44.02142857
26;01/01/2020 04:20;1.417241379;330.3172414;26.34482759;90.80344828;1012.055172;6.144827586;33.41071429
27;01/01/2020 04:30;1.35862069;330.6586207;26.17241379;91.75172414;1012.327586;6.372413793;22.8
28;01/01/2020 04:40;1.3;331;26;92.7;1012.6;6.6;58.925
29;01/01/2020 04:50;1.3;311.75;26.2;92.275;1012.575;5.35;95.05
30;01/01/2020 05:00;1.3;292.5;26.4;91.85;1012.55;4.1;131.175
31;01/01/2020 05:10;1.3;273.25;26.6;91.425;1012.525;2.85;167.3
32;01/01/2020 05:20;1.3;254;26.8;91;1012.5;1.6;199.8
33;01/01/2020 05:30;0.9;250;26.9;89.4;1011.6;1.6;212.5
34;01/01/2020 05:40;1.5;218;27.2;87.9;1012.1;1.6;213.9
35;01/01/2020 05:50;1.7;236;27.2;88.1;1011.1;1.6;192.1
36;01/01/2020 06:00;0.6;248;27.3;85.8;1011.6;1.6;193.9
37;01/01/2020 06:10;2.1;245;27.4;83.9;1011;1.6;209.4
38;01/01/2020 06:20;0.3;33;27.8;82.2;1010.9;1.6;220.3
39;01/01/2020 06:30;0;0;27.9;81;1010.9;1.6;209.8
40;01/01/2020 06:40;0;0;28.3;78.5;1010.7;1.6;264.2
41;01/01/2020 06:50;1.7;245;28.1;77.4;1010.7;1.6;240.9
42;01/01/2020 07:00;1.6;300;28.8;74.7;1010.4;1.6;204.4
43;01/01/2020 07:10;0;0;28.4;73.8;1010.6;1.6;144.5
44;01/01/2020 07:20;0;0;28.1;73.9;1010.6;1.6;146.7
45;01/01/2020 07:30;1.4;270;28.3;73.5;1010.1;1.6;137.7
46;01/01/2020 07:40;1.1;281;28.3;73.3;1010.3;1.6;144.3
47;01/01/2020 07:50;0.5;274;28.4;74.1;1009.6;1.6;151.4
48;01/01/2020 08:00;0.3;282;28.5;74.3;1010.3;1.6;142.1
49;01/01/2020 08:10;0.5;254;28.7;72.5;1009.6;1.6;167.9
50;01/01/2020 08:20;1.3;311;28.8;69.5;1010.3;1.6;199.5
51;01/01/2020 08:30;1.7;264;29.1;70.5;1009.4;1.6;216.3
52;01/01/2020 08:40;0.6;221;29.3;69.2;1009.5;1.6;133
53;01/01/2020 08:50;1.3;337;29;68.3;1009.6;1.6;116.9
54;01/01/2020 09:00;1;255;29.1;68.9;1010.5;1.6;83.8
55;01/01/2020 09:10;1.8;228;28.7;68.2;1009.8;1.6;72.4
56;01/01/2020 09:20;1.3;324;28.7;70.4;1010.5;1.6;67.5
57;01/01/2020 09:30;0;0;28.7;70.7;1009.6;1.6;70.7
58;01/01/2020 09:40;0;0;28.7;72;1009.8;1.6;65.5
