datetime,rh
01/01/2020,nan
02/01/2020,75.42
03/01/2020,77.13
04/01/2020,77.14
05/01/2020,84.6
06/01/2020,87.68
07/01/2020,80.68
08/01/2020,81.3
09/01/2020,83.54
10/01/2020,91.9
11/01/2020,76.91
12/01/2020,72.83
13/01/2020,80.53
14/01/2020,77.98
15/01/2020,77.25
16/01/2020,78.17
17/01/2020,81.82
18/01/2020,78.96
19/01/2020,74.23
20/01/2020,80.38
21/01/2020,78.64
22/01/2020,77.18
23/01/2020,82.73
24/01/2020,94.34
25/01/2020,91.23
26/01/2020,82.41
27/01/2020,78.46
28/01/2020,76.81
29/01/2020,77.8
30/01/2020,74.94
31/01/2020,80.42
01/02/2020,94.22
01/02/2020,100
02/02/2020,86.28
02/02/2020,93.9
03/02/2020,91.25
03/02/2020,89.5
04/02/2020,81.86
04/02/2020,83.3
05/02/2020,86.64
05/02/2020,92.8
06/02/2020,86.47
06/02/2020,86.7
07/02/2020,92.7
07/02/2020,100
08/02/2020,84.27
08/02/2020,87.9
09/02/2020,80.03
09/02/2020,77.6
10/02/2020,66.33
10/02/2020,84.6
11/02/2020,66.09
11/02/2020,74.5
12/02/2020,70.77
12/02/2020,75.6
13/02/2020,76.53
13/02/2020,81.9
14/02/2020,85.39
14/02/2020,91
15/02/2020,77.46
15/02/2020,81.3
16/02/2020,85.1
16/02/2020,83.6
17/02/2020,86.32
17/02/2020,92.1
18/02/2020,83.19
19/02/2020,86.01
19/02/2020,99
20/02/2020,87.96
20/02/2020,98.1
21/02/2020,81.03
21/02/2020,100
22/02/2020,84.31
22/02/2020,93.5
23/02/2020,79.14
23/02/2020,80.8
24/02/2020,83.85
24/02/2020,100
25/02/2020,82.17
25/02/2020,87.7
26/02/2020,81.04
26/02/2020,97.7
27/02/2020,85.23
27/02/2020,99.3
28/02/2020,83.84
28/02/2020,89.5
29/02/2020,91.61
29/02/2020,100
01/03/2020,90.27
02/03/2020,80.04
03/03/2020,78.24
04/03/2020,83.7
05/03/2020,72.9
06/03/2020,69.9
07/03/2020,64.69
08/03/2020,70.49
09/03/2020,65.71
10/03/2020,67.62
11/03/2020,79.49
12/03/2020,87
13/03/2020,73.57
14/03/2020,77.46
15/03/2020,79.11
16/03/2020,82.05
17/03/2020,72.03
18/03/2020,85.07
19/03/2020,84.93
20/03/2020,86
21/03/2020,76.07
22/03/2020,83.62
23/03/2020,75.71
24/03/2020,76.76
25/03/2020,75.91
26/03/2020,78.31
27/03/2020,75.99
28/03/2020,72.65
29/03/2020,73.81
30/03/2020,84.01
31/03/2020,81.75
01/04/2020,72.39
01/04/2020,78.5
02/04/2020,67.19
03/04/2020,81.12
03/04/2020,86.1
04/04/2020,73.7
04/04/2020,79.3
05/04/2020,73.05
05/04/2020,79.8
06/04/2020,86.32
06/04/2020,84.6
07/04/2020,71.3
07/04/2020,75.8
08/04/2020,75.8
08/04/2020,86.6
