datetime;rh
01/01/2020 00:00;66.14827586
01/01/2020 00:10;67.09655172
01/01/2020 00:20;68.04482759
01/01/2020 00:30;68.99310345
01/01/2020 00:40;69.94137931
01/01/2020 00:50;70.88965517
01/01/2020 01:00;71.83793103
01/01/2020 01:10;72.7862069
01/01/2020 01:20;73.73448276
01/01/2020 01:30;74.68275862
01/01/2020 01:40;75.63103448
01/01/2020 01:50;76.57931034
01/01/2020 02:00;77.52758621
01/01/2020 02:10;78.47586207
01/01/2020 02:20;79.42413793
01/01/2020 02:30;80.37241379
01/01/2020 02:40;81.32068966
01/01/2020 02:50;82.26896552
01/01/2020 03:00;83.21724138
01/01/2020 03:10;84.16551724
01/01/2020 03:20;85.1137931
01/01/2020 03:30;86.06206897
01/01/2020 03:40;87.01034483
01/01/2020 03:50;87.95862069
01/01/2020 04:00;88.90689655
01/01/2020 04:10;89.85517241
01/01/2020 04:20;90.80344828
01/01/2020 04:30;91.75172414
01/01/2020 04:40;92.7
01/01/2020 04:50;92.275
01/01/2020 05:00;91.85
01/01/2020 05:10;91.425
01/01/2020 05:20;91
01/01/2020 05:30;89.4
01/01/2020 05:40;87.9
01/01/2020 05:50;88.1
01/01/2020 06:00;85.8
01/01/2020 06:10;83.9
01/01/2020 06:20;82.2
01/01/2020 06:30;81
01/01/2020 06:40;78.5
01/01/2020 06:50;77.4
01/01/2020 07:00;74.7
01/01/2020 07:10;73.8
01/01/2020 07:20;73.9
01/01/2020 07:30;73.5
01/01/2020 07:40;73.3
01/01/2020 07:50;74.1
01/01/2020 08:00;74.3
01/01/2020 08:10;72.5
01/01/2020 08:20;69.5
01/01/2020 08:30;70.5
01/01/2020 08:40;69.2
01/01/2020 08:50;68.3
01/01/2020 09:00;68.9
01/01/2020 09:10;68.2
01/01/2020 09:20;70.4
01/01/2020 09:30;70.7
01/01/2020 09:40;72
01/01/2020 09:50;71.6
01/01/2020 10:00;70.5
01/01/2020 10:10;71.5
01/01/2020 10:20;73
01/01/2020 10:30;74.5
01/01/2020 10:40;74.9
01/01/2020 10:50;72.2
01/01/2020 11:00;71.9
01/01/2020 11:00;71.8
01/01/2020 11:10;72.7
01/01/2020 11:20;76.1
01/01/2020 11:30;76.6
01/01/2020 11:40;78.7
01/01/2020 11:50;81.3
01/01/2020 12:00;81.6
01/01/2020 12:10;83.5
01/01/2020 12:20;83.9
01/01/2020 12:30;84.7
01/01/2020 12:40;84.7
01/01/2020 12:50;84.9
01/01/2020 13:00;84.9
01/01/2020 13:10;82
01/01/2020 13:20;82.8
01/01/2020 13:30;82.6
01/01/2020 13:40;83
01/01/2020 13:50;83.7
01/01/2020 14:00;84.7
01/01/2020 14:10;85.4
01/01/2020 14:20;86.1
01/01/2020 14:30;86.5
01/01/2020 14:40;85.5
01/01/2020 14:50;88.6
01/01/2020 15:00;93.6
01/01/2020 15:10;96.4
