datetime,temp,rh,pressure,ws,wd,ch,solrad
01/01/2018,21.73,84.57,900.91,0.56,177.4,0.29,208.58
02/01/2018,21.57,83.3,876.07,0.55,159.35,0.25,231.67
03/01/2018,21.13,90.21,901.7,0.44,171.07,12.43,132.6
04/01/2018,21.92,86.34,895.76,0.48,165.28,0.53,161.03
05/01/2018,20.86,85.83,893.15,0.6,182.05,6.28,120.75
06/01/2018,22.74,70.54,896.12,0.74,226.53,0.14,203.63
07/01/2018,21.01,89.32,896.86,0.49,182.55,3.62,112.87
08/01/2018,21.89,81.23,887.29,0.89,209.77,8.61,248.32
09/01/2018,20.4,91.16,898.04,0.52,178.38,4.97,134.19
10/01/2018,21.34,74.85,888.71,0.59,214,0.04,166.95
11/01/2018,20.5,78.06,898.03,0.82,243.11,1.45,158.84
12/01/2018,21.19,84.46,902.78,1.01,248.13,0.01,127.08
13/01/2018,19.85,87.41,890.51,0.92,235.67,5.06,120.01
14/01/2018,19.96,94.67,903.29,0.69,259.64,0.76,111.92
15/01/2018,20.72,88.12,901.73,0.83,238.57,2.19,169.16
16/01/2018,18.75,95.55,895.71,0.73,233.29,6.04,58.13
17/01/2018,20.21,88.07,895.42,0.53,219.44,1.29,74.83
18/01/2018,20.4,91.67,902.16,0.55,222.59,0.97,51
19/01/2018,20.93,83.09,895.69,0.69,215.66,0.29,155.01
20/01/2018,20.83,79.89,879.39,0.73,199.41,0.8,150.29
21/01/2018,20.25,92.82,891.33,0.87,248.06,2.46,66.04
22/01/2018,19.23,94.77,888.03,0.74,240.41,31.31,46.28
23/01/2018,20.56,92.9,901.02,0.54,224.33,10.65,96.47
24/01/2018,21.07,85.73,888.11,0.9,234,1.07,162.12
25/01/2018,20.56,87.21,894.01,0.84,234.88,9.55,95.6
26/01/2018,19.59,95.39,900.54,0.86,255.28,16.24,67.9
27/01/2018,20.26,90.35,894.6,1.02,255.79,1.23,116.76
28/01/2018,18.89,94.52,888.71,0.96,240.46,10.41,22.68
29/01/2018,20.79,88.04,896.18,0.55,227.42,2.46,146.84
30/01/2018,19.32,94.19,880.57,0.55,211.43,15.94,68.72
31/01/2018,20.19,92.36,881.25,0.55,214.39,1.91,85.59
01/02/2018,21.19,89.23,903.74,0.52,200.09,7.09,111.57
02/02/2018,21.73,80.97,897.34,0.89,242.32,0.59,170.41
03/02/2018,19.63,91.13,885.56,0.57,215.48,20.62,49.55
04/02/2018,19.89,96.44,898.19,0.75,224.67,31.4,47.59
05/02/2018,18.57,96.18,896.01,0.59,209.91,123.74,21.87
06/02/2018,18.55,95.77,892.29,0.48,184.71,26.14,35.67
07/02/2018,19.71,95.24,897.87,0.54,230.2,2.44,72.82
