datetime,temp,rh,pressure,ws,wd,ch,solrad
01/01/2018,29.58,67.82,1005.65,0.33,110.96,0.28,178.81
02/01/2018,29.33,68.73,1005.89,0.02,9.52,0,158.58
03/01/2018,28.88,71.92,1006.61,0.09,39,0.14,147.44
04/01/2018,29.56,66.02,1007.16,0.52,183.99,0.2,168.28
05/01/2018,27.23,62.45,966.14,1.5,233.75,0.17,116.2
06/01/2018,29,65.19,1000.64,1.87,272.41,0,133.19
07/01/2018,28.56,69,1001.43,0.76,293.75,0,69.04
08/01/2018,28.94,71.9,1001.61,1.44,302.26,0,127.1
09/01/2018,27.89,71.7,999.44,1.29,304.73,0,141.6
10/01/2018,28.2,69.38,999.2,1.71,293.61,0,175.98
11/01/2018,27.9,65.16,998.31,1.68,270.3,0,124.86
12/01/2018,28.96,66.62,1000.86,1.86,302.45,0,127.1
13/01/2018,27.19,70.35,990.91,1.97,287.7,3.56,148.35
14/01/2018,25.49,79.28,991.21,1.64,272.57,5.83,101.11
15/01/2018,25.47,81.29,990.12,1.27,277.7,13.56,68.08
16/01/2018,27.43,64.62,989.84,1.5,283.11,0.14,137.21
17/01/2018,27.67,70.8,999.82,1.4,289,0,90.72
18/01/2018,25.3,88.85,997.13,0.79,236.47,28.03,24.71
19/01/2018,26.38,79.63,1007.62,1.59,281.41,1.2,93.65
20/01/2018,26.52,79.92,999.62,1.69,276.55,4.94,99.62
21/01/2018,27.83,70.29,991.78,1.79,279.6,0.27,131.29
22/01/2018,25.96,78.73,984.94,1.58,267.52,2.98,85.59
23/01/2018,27.89,75.15,995.11,1.44,282.05,2.35,184.81
24/01/2018,27.25,80.84,1005.44,1.54,275.31,10.22,96.36
25/01/2018,27.27,73.18,998.41,2.06,268.77,0.13,93.87
26/01/2018,27.49,73.25,998.69,1.73,278.39,2.83,127.32
27/01/2018,27.05,75.1,999.27,1.37,284.44,1.04,103.01
28/01/2018,25.81,78.21,996.48,1.7,287,1.34,93.45
29/01/2018,29.62,65.59,1000.35,2,283.3,0.77,267.25
30/01/2018,27.89,74.66,1007.56,1.83,263.89,2.5,80.38
31/01/2018,28,75.7,1001.03,1.56,286.59,0.2,144.59
01/02/2018,27.69,75.48,998.19,1.21,292.64,1.59,116.71
02/02/2018,28.24,74.43,998.12,1.66,292.17,6.04,162.99
03/02/2018,27.27,80.79,1002.59,1.45,281.62,10.35,129.5
04/02/2018,27.13,80.92,995.79,1.64,296.08,17.6,119.71
05/02/2018,25.59,87.08,1011.22,1.14,184.46,23.73,68.24
06/02/2018,25.97,84.72,1003.66,1.13,201.81,7.76,97.8
07/02/2018,27.02,80.71,1009.6,1.01,280.72,1.13,68.2
08/02/2018,26.47,85.99,1009.3,1.35,253.36,4.16,100.96
09/02/2018,26.88,82.59,1009.39,1.3,287.87,3.1,131.02
10/02/2018,27.92,75.36,1002.5,1.57,294.83,0,169
11/02/2018,27.56,80.89,1010.3,1.73,298.18,6.17,122.07
12/02/2018,27.96,76.03,1011.92,2.04,300.99,1.72,140.12
13/02/2018,27.64,74.56,1012.1,1.27,300.08,0,83.96
14/02/2018,25.97,86.14,1011.71,0.39,328.19,1.23,26.69
15/02/2018,25.06,91.04,1011.74,0.87,260.56,74.19,22.11
16/02/2018,28.21,72.15,1009.01,1.21,242.82,0,145.44
17/02/2018,27.57,77.65,1008.83,1.34,299.98,0.09,100.36
18/02/2018,28.1,76.65,1008.76,1.12,273.56,0.23,169.17
19/02/2018,27.87,78.81,1008.23,0.91,271,1.33,88.89
20/02/2018,28.18,73.2,1000.62,1.06,269.24,0.44,137.34
21/02/2018,29.49,71.94,1006.95,1.8,301.39,0,190.64
22/02/2018,28.67,73.75,1006.28,2.24,309.57,0,148.63
23/02/2018,27.66,74.39,1001.2,1.9,272.89,0,165.56
24/02/2018,28.08,76.06,1010.02,1.27,219.16,1.11,207.45
25/02/2018,28.3,74.44,1008.52,1.44,166.78,1.21,251.84
26/02/2018,25.58,91.29,1009.01,0.14,22.01,23.41,9.41
27/02/2018,27.88,79.56,1008.01,1.12,193.56,0.68,127.41
28/02/2018,27.65,79.92,1008.01,0.8,231.41,1.32,89.21
01/03/2018,27.25,83.32,1008.16,0.99,212.79,0.3,133.35
02/03/2018,29.24,74.85,1006.84,1.19,208.33,0.18,206.42
03/03/2018,28.3,80.27,1007.26,0.94,136.59,3.04,108.48
04/03/2018,28.5,76.07,1000.6,1.19,197.24,0.27,163.64
05/03/2018,28.25,74.11,994.46,1.1,287.04,0.16,143
06/03/2018,27.45,79.89,1001.26,0.89,218.88,1.84,107.01
